原文;日本語訳
frozen;凍結
Frozen;凍結
Healing Light;HEALING LIGHT
Heal all allies in line of sight for [%d_health:heal].;視界内のすべての味方を[%d_治癒:heal]で回復する。\n
%d - Heal;%d - ヒール
Heal;ヒール
%d - Shielding Light;%d - シールディング・ライト
Shielding Light;シールディング・ライト
%s gains [%d_heal:heal];%sは[%d_治癒:heal]を得る
Allies in line of sight gain %d shield;視界内の味方は[%d_シールド:shield]を得る
Heavenly Blast;HEAVENLY BLAST
Deal [%d_holy:holy] damage to enemies and heal allies for [%d_hp:heal] along a beam and in a [%d_tile:radius] burst.;敵に[%d_破邪:holy]ダメージを与え、味方を[%d_hp:heal]で回復する。（ビームおよび[%d_タイル:radius]の範囲爆発に沿う）\n
%d - Shield;%d - シールド
Shield;シールド
Affected ally units gain %d SH, to a maximum of %d.;影響を受けた味方ユニットは最大%d体まで[%d_シールド:shield]を得る。
%d - Echo Heal;%d - エコーヒール
Echo Heal;エコーヒール
Affected ally units are re-healed for half the initial amount each turn for %d turns.;影響を受けた味方ユニットは、最初の量の半分を%dターン毎に再回復する。
%d - Spirit Bind;%d - スピリット・バインド
Spirit Bind;スピリット・バインド
Slain enemies create temporary spirits.  Spirits are blinking holy undead with %d hitpoints and a %d damage ranged holy attack.;倒された敵は一時的な霊を生み出す。霊は[%d_HP:minion_health]と、%dダメージの[破邪:holy]攻撃を持つ点滅する死霊である。
Hollow Flesh;HOLLOW FLESH
Curse a group of units with the essence of undeath.;あるグループのユニットに死霊の本質の呪いをかける。
Affected units become [%a] and lose [%a].;影響を受けたユニットは[%a]になり、[%a]を失う。
Affected units lose [%d%:damage] of their max HP.;影響を受けたユニットは最大HPの[%d%:damage]を失う。
Affected units lose [%d_holy:holy] resist.;影響を受けたユニットは[%d_破邪:holy]耐性を失う。
Affected units gain [%d_dark:dark] resist.;影響を受けたユニットは[%d_暗黒:dark]耐性を得る。
Affected units cannot be healed.;影響を受けたユニットは回復できない。\n
%d - Max Health Loss;%d - 最大HP減少
Max Health Loss;最大HP減少
%s gains %d Max Health Loss;%sは%dの最大HP減少を得る
%d - Fire Vulnerability;%d - 炎の脆弱性
Fire Vulnerability;炎の脆弱性
%s gains %d Fire Vulnerability;%sは%dの[炎:fire]の脆弱性を得る
Hungry Maw;HUNGRY MAW
Summons a hungry maw.;空腹な大口を召喚する。
The maw has [%d_HP:minion_health], [%d_SH:shields], floats, and is stationary.;その大口は[%d_HP:minion_health]、[%d_SH:shields]を持ち、浮遊し、静止している。
The maw has a [%d_physical:physical] damage attack, which pulls enemies towards it, with a range of [%d_tiles:minion_range].;大口は、敵を引き寄せる[%d_物理:physical]ダメージ攻撃を持ち、その範囲は[%d_タイル:minion_range]である。
The maw vanishes after [%d_turns:minion_duration].;大口は[%d_ターン:minion_duration]後に消える。\n
%d - Shields;%d - シールド
Shields;シールド
Invoke Savagery;INVOKE SAVAGERY
Each living ally attacks a random enemy unit in melee range.;各生物の味方が近接範囲のランダムな敵ユニットを攻撃する。
The attack deals [%d_physical:physical] damage and inflicts [%d_turns:duration] of [%a].;この攻撃は[%d_物理:physical]ダメージを与え、[%d_ターン:duration]の[スタン:stun]を引き起こす。
Magnetize;MAGNETIZE
Magnetize target metallic unit.;対象の金属ユニットを磁化する。
Enemy units within a [%d_tile:radius] radius of the magnetized unit are pulled [%d_tiles:range] towards the unit each turn.;磁化されたユニットの[%d_タイル:radius]半径内の敵ユニットは、毎ターンユニットに向かって[%d_タイル:range]引き寄せられる。
Afterwards, adjecent enemy units are stunned for %d turn.;その後、隣接する敵ユニットは%dターン間、スタンする。
%d - Pull Distance;%d - 引き寄せ距離
Pull Distance;引き寄せ距離
%s gains %d Pull Strength;%sは%dの引き寄せ力を得る
%d - Universal Magnetism;%d - 汎用磁力
Universal Magnetism;汎用磁力
Magnetize can target non [%a] units;磁化は[%a]でないユニットも対象にできる
Melt;MELT
Target unit takes [%d_fire:fire] damage and loses [%d_physical:physical] resist.;対象のユニットは[%d_炎:fire]ダメージを受け、[%d_物理:physical]の耐性を失う。
%d - Ice Penetration;%d - 氷の貫通
Ice Penetration;氷の貫通
Melt also reduces [%a] resist by %d;Meltもまた、[%a]の耐性を%d減少させる
Soul Swap;SOUL SWAP
Each turn for [%d_turns:duration], all allied units in a [%d_tile:radius] radius are healed for [%d_HP:heal].;指定された[%d_ターン:duration]の各ターンに、[%d_タイル:radius]半径内のすべての味方ユニットのHPが[%d_HP:heal]回復する。
%d - Global;%d - 全域
Global;全域
%s gains %d Whole Map;%sは全マップに対して%dを得る
Soul Swap can target enemy undead units as well.;SOUL SWAPは敵の死霊ユニットも対象にできる。
Regeneration Aura;REGENERATION AURA
The aura heals all allies on the level;オーラはフロアのすべての味方を回復する。
%d - Forced Transfer;%d - 強制転送
Forced Transfer;強制転送
Swap places with a friendly [%a] unit.;友好的な[%a]ユニットと位置を交換する。
Touch of Death;TOUCH OF DEATH
Deal [%d_dark:dark] damage to one unit in melee range.;近接範囲内の一つのユニットに[%d_暗黒:dark]ダメージを与える。
%s gains %d Arcane Damage;%sは[%d_秘術:arcane]ダメージを得る。
Touch of death also deals %d [%a] damage.;TOUCH OF DEATHは%d [%a]ダメージを追加で与える。
%s gains %d Fire Damage;%sは[%d_炎:fire]ダメージを得る。
%s gains %d Physical Damage;%sは[%d_物理:physical]ダメージを得る。
When a [%a] target dies to touch of death, it is raised as a friendly Raven.;[%a]ターゲットがTOUCH OF DEATHで死ぬと、友好的なRavenとして蘇る。
When a [%a] target dies to touch of death, it is raised as a friendly Vampire.;[%a]ターゲットがTOUCH OF DEATHで死ぬと、友好的なVampireとして蘇る。
When a [%a] target dies to touch of death, it is raise as a friendly Reaper for %d turns;[%a]ターゲットがTOUCH OF DEATHで死ぬと、%dターンの間、友好的なReaperとして蘇る。
Toxic Spores;TOXIC SPORES
Summons [%d:num_summons] Mushbooms.;[%d:num_summons]のMushboomsを召喚する。
Mushbooms have [%d_HP:minion_health].;Mushboomsは[%d_HP:minion_health]を持つ。
Mushbooms have a ranged attack dealing [%d_poison:poison] damage and inflicting [%d_turns:duration] of [%a].;Mushboomsは範囲攻撃を持ち、[%d_毒:poison]ダメージを与えて[%d_turns:duration]の[%a]を与える。
Mushbooms inflict [%d_turns:duration] of [%a] on units in melee range when they die.;Mushboomsが死ぬと、近接範囲内のユニットに[%d_turns:duration]の[%a]を与える。\n
%s gains [%d_num_summons:num_summons];%sは[%d_召喚数:num_summons]を得る。
Summon grey mushbooms instead, which apply stun instead of poison.;毒の代わりにスタンを適用するGrey mushboomsを召喚する。
Summon red mushbooms instead, which do not apply poison but deal fire damage;毒を適用せず、火のダメージを与えるRed mushboomsを代わりに召喚する。
Summon glass mushbooms instead, which apply glassify instead of poison;毒の代わりにグラス化を適用するGlass Mushboomsを代わりに召喚する。
Toxin Burst;TOXIN BURST
Deal [%d_poison:poison] damage and inflict [%a] on all units in a [%d_tile:radius] radius for [%d_turns:duration].;すべてのユニットに[%d_毒:poison]ダメージを与え、[%d_タイル:radius]の半径で[%d_turns:duration]の[%a]を与える。
poisoned;毒
Poisoned;毒
Aether Swap;AETHER SWAP
Swap places with target unit.;対象のユニットと位置を交換する。
That unit takes [%d_arcane:arcane] damage.;そのユニットは[%d_秘術:arcane]ダメージを受ける。
Cannot target [%a] immune units.;[%a]免疫のユニットを対象にできない。
Aether Swap can be cast without line of sight;Aether Swapは視界外からでも詠唱可能。
Basilisk Armor;BASILISK ARMOR
Whenever an enemy unit targets you with a spell or attack, that unit is [%a] for [%d:duration] turns.;敵ユニットがあなたを魔法や攻撃の対象にしたとき、そのユニットは[%d:duration]ターンの間[%a]になる。
Blinding Light;BLINDING LIGHT
[%a] all units in line of sight of the caster for [%d_turns:duration].;BLINDING LIGHTは詠唱者の視界内のすべてのユニットを[%d_ターン:duration]の間[%a]にする。
[%a] units have all their spell ranges reduced to %d.Deals [%d_holy:holy] damage to affected undead and demon units.;[%a]ユニットはすべての魔法の範囲が%dに減少する。影響を受けた死霊と悪魔のユニットには[%d_破邪:holy]ダメージを与える。\n
%s gains %d Dark Units;%sは[%d_暗黒:dark]ユニットを獲得する。
Dark units also take holy damage.;[暗黒:dark]ユニットも[破邪:holy]ダメージを受ける。
Blink;BLINK
Blink can be cast without line of sight;BLINKは視界外からでも詠唱可能だ。
Blink deals lightning damage in a %d tile burst upon arrival.  The damage is equal to twice the distance travelled, rounded up.;BLINKは到着時に%dタイルの範囲に[稲妻:lightning]ダメージを与える。ダメージは移動距離の2倍で、小数点は切り上げる。
Blink deals dark damage in a %d tile burst upon arrival.  The damage is equal to twice the distance travelled, rounded up.;BLINKは到着時に%dタイルの範囲に[暗黒:dark]ダメージを与える。ダメージは移動距離の2倍で、小数点は切り上げる。
Choir of Angels;CHOIR OF ANGELS
Summons a choir of [%d:num_summons] angelic singers.;[%d:num_summons]の天使の歌い手の合唱団を召喚する。
The angels can sing, dealing [%d_fire:fire] and [%d_holy:holy] damage to all [%a], [%a], and [%a] units in a [%d_tile:radius] radius. [%a] and [%a] units in the song's radius are healed for [%d_HP:heal].  The Wizard cannot be healed in this way.;天使たちは歌うことができ、その歌は[%d_炎:fire]と[%d_破邪:holy]のダメージを[%d_タイル:radius]の範囲内のすべての[%a]、[%a]、[%a]ユニットに与える。歌の範囲内の[%a]と[%a]ユニットは[%d_HP:heal]回復する。しかし、この方法ではウィザードは回復しない。
The singers have [%d_HP:minion_health], [%d_SH:shields], %d% resistance to [%a] and [%a] damage, and %d% resistance to [%a] damage.;歌い手は[%d_HP:minion_health]、[%d_SH:shields]、[%a]と[%a]ダメージに対する%d%の耐性を持つ。
The angels vanish after [%d:minion_duration] turns.;天使たちは[%d:minion_duration]ターン後に消える。\n
Darkness;DARKNESS
Dominate;DOMINATE
Earthquake;EARTHQUAKE
Ghostball;GHOSTBALL
Iceball;ICEBALL
Ironize;IRONIZE
Mercurize;MERCURIZE
Blizzard;BLIZZARD
Conductance;CONDUCTANCE
Permanence;PERMANENCE
Purity;PURITY
Multicast;MULTICAST
Combust Poison;COMBUST POISON
Death Chill;DEATH CHILL
Devour Mind;DEVOUR MIND
Earthen Sentinel;EARTHEN SENTINEL
Flame Burst;FLAME BURST
Frostfire Hydra;FROSTFIRE HYDRA
Glass Orb;GLASS ORB
Holy Armor;HOLY ARMOR
Holy Fire;HOLY FIRE
Lightning Halo;LIGHTNING HALO
Lightning Spire;LIGHTNING SPIRE
Mystic Power;MYSTIC POWER
Mystic Vision;MYSTIC VISION
Nightmare Aura;NIGHTMARE AURA
Pain Mirror;PAIN MIRROR
Plague of Filth;PLAGUE OF FILTH
Prison of Thorns;PRISON OF THORNS
Seal Fate;SEAL FATE
Shrapnel Blast;SHRAPNEL BLAST
Silver Spear;SILVER SPEAR
Suspend Mortality;SUSPEND MORTALITY
Underworld Passage;UNDERWORLD PASSAGE
Void Orb;VOID ORB
Arc Lightning;ARC LIGHTNING
Bone Barrage;BONE BARRAGE
Call Archon;CALL ARCHON
Call Seraph;CALL SERAPH
Chimera Familiar;CHIMERA FAMILIAR
Conjure Memories;CONJURE MEMORIES
Death Gaze;DEATH GAZE
Death Shock;DEATH SHOCK
Dispersion Field;DISPERSION FIELD
Essence Flux;ESSENCE FLUX
Fiery Tormentor;FIERY TORMENTOR
Fire Drake;FIRE DRAKE
Ice Drake;ICE DRAKE
Ice Orb;ICE ORB
Ice Vortex;ICE VORTEX
Lightning Storm;LIGHTNING STORM
Orb Control;ORB CONTROL
Pyrostatic Pulse;PYROSTATIC PULSE
Searing Seal;SEARING SEAL
Siege Golems;SIEGE GOLEMS
Siphon Shields;SIPHON SHIELDS
Storm Burst;STORM BURST
Storm Drake;STORM DRAKE
The Restless Dead;THE RESTLESS DEAD
Void Drake;VOID DRAKE
Volcanic Eruption;VOLCANIC ERUPTION
Wall of Ice;WALL OF ICE
Watcher Form;WATCHER FORM
Wheel of Death;WHEEL OF DEATH
Ball Lightning;BALL LIGHTNING
Blue Lion;BLUE LION
Cantrip Cascade;CANTRIP CASCADE
Chill Wind;CHILL WIND
Death Cleave;DEATH CLEAVE
Fae Court;FAE COURT
Floating Eye;FLOATING EYE
Flock of Eagles;FLOCK OF EAGLES
Heavenly Idol;HEAVENLY IDOL
Ice Phoenix;ICE PHOENIX
Pillar of Fire;PILLAR OF FIRE
Pyrostatic Curse;PYROSTATIC CURSE
Ring of Spiders;RING OF SPIDERS
Slime Form;SLIME FORM
Soul Tax;SOUL TAX
Spider Queen;SPIDER QUEEN
Dragon Roar;DRAGON ROAR
Gold Drake;GOLD DRAKE
Heaven's Wrath;HEAVEN'S WRATH
Imp Swarm;IMP SWARM
Mystic Memory;MYSTIC MEMORY
Searing Orb;SEARING ORB
Twilight Gaze;TWILIGHT GAZE
Knightly Oath;KNIGHTLY OATH
Spikeball Factory;SPIKEBALL FACTORY
Word of Beauty;WORD OF BEAUTY
Word of Chaos;WORD OF CHAOS
Word of Ice;WORD OF ICE
Word of Madness;WORD OF MADNESS
Word of Undeath;WORD OF UNDEATH
Fireball;FIREBALL
Deals [%d:damage] [%a] damage to units in a [%d_tile:radius] burst.;[%d:damage][%a]ダメージを%dタイルの範囲で与える。\n
Flame Tongue;FLAME TONGUE
Deal fire damage in a beam;炎属性のビームを発射する。\n
Meteor Shower;METEOR SHOWER
Rains [%d_meteors:num_targets] down on random tiles in a [%d_tile:radius] radius each turn.;毎ターン[%dつの隕石:num_targets]が[半径%d:radius]のランダムなタイルに降り注ぐ。
Meteors deal [%d_physical:physical] damage, destroy walls, and inflict stun for [%d_turns:duration].;隕石は[%d_物理:physical]ダメージを与え、壁を破壊し、[%d_ターン:duration]の間、スタンを付与する。
Meteors also deal [%d_fire:fire] damage in a [%d_tile:radius] radius.;また、隕石は[%d_炎:fire]ダメージを[半径%d:radius]に与える。
This spell can be channeled for up to [%d_turns:duration].  The effect is repeated each turn the spell is channeled.;この呪文は最大[%d_ターン:duration]までチャネリングすることができる。この効果はチャネリングが行われるたびに繰り返される。\n\n
Lightning Bolt;LIGHTNING BOLT
Deals [%d_lightning:lightning] damage in a beam.;[%d_稲妻:lightning]ダメージのビームを発射する。\n
Annihilate;ANNIHILATE
Deals [%d_fire:fire] damage, [%d_lightning:lightning] damage, and [%d_physical:physical] damage to the target.;敵に[%d_炎:fire]ダメージ [%d_稲妻:lightning]ダメージ [%d_物理:physical]ダメージを与える。\n
Mega Annihilate;MEGA ANNIHILATE
Hits from Annihilate will jump to nearby targets if the main target is killed;主要なターゲットが倒されると、Annihilateからの攻撃は近くのターゲットにジャンプする。\n
Teleport;TELEPORT
Teleport to target tile;ターゲットタイルにテレポートする。\n
Death Bolt;DEATH BOLT
Deals [%d_dark:dark] damage to one target.;ターゲット1人に[%d_暗黒:dark]ダメージを与える。
Slain living units are raised as skeletons.;倒した敵はスケルトンとして蘇る。
Raised skeletons have max HP equal to that of the slain unit, and deal [%d_physical:physical] damage in melee.;スケルトンは元々の敵と同じHPを持ち、近接で[%d_物理:physical]ダメージを与える。
Skeletons of flying units can fly.;飛行する敵のスケルトンは 空を飛ぶことができる。\n
Flame Gate;FLAME GATE
Whenever you cast a [%a] spell, summon a fire elemental at the target of that spell.;[炎:fire]の呪文を唱えるたびに、一時的にターゲットの近くに Fire Elemental を召喚する。
Fire elementals have [%d_HP:minion_health], [%d_fire:fire] resist, [%d_physical:physical] resist, and [-%d_ice:ice] resist.;Fire Elementalは[%d_HP:minion_health] [%d_炎:fire]耐性 [%d_物理:physical]耐性 [-%d_冷気:ice]耐性を持つ。
Fire elementals have an attack which deals [%d_fire:fire] damage with a [%d_tile:minion_range] range.;Fire Elementalは[%d_炎:fire]ダメージを[%d_タイル:minion_range]の射程で攻撃する。
Fire elementals vanish after [%d_turns:minion_duration].;Fire Elementalは[%d_ターン:minion_duration]持続する。
This effect lasts until you fail to cast a fire spell.;この付与は、移動するか非[炎:fire]の呪文を唱えると終了する。\n\n
Lightning Form;LIGHTNING FORM
Whenever you cast a lightning spell, if the target square is empty, teleport to the target square.;[稲妻:lightning]の呪文を唱えるたびに、ターゲットのマスが空いていれば、そのマスにテレポートする。
This enchantment ends if you move or cast a non lightning spell.;この付与は、移動するか非[稲妻:lightning]の呪文を唱えると終了する。
Whenever you cast a [%a] spell, teleport to that spell's target.;[%a]の呪文を唱えるたびに、その呪文のターゲットにテレポートする。
Gain [%d_lightning:lightning] resistance.;[%d_稲妻:lightning]耐性を得る。
Gain [%d_physical:physical] resistance.;[%d_物理:physical]耐性を得る。
This effect ends the first turn that you fail to cast a [%a] spell.;この効果はあなたが[稲妻:lightning]の呪文を唱えられなかったターンに終了する。\n
Void Beam;VOID BEAM
Deal [%d_arcane:arcane] damage and destroy walls in a beam.;ビーム内の壁を破壊し、[%d_秘術:arcane]ダメージを与える。\n
Thunder Strike;THUNDER STRIKE
Deal [%d_lightning:lightning] damage to the target.;ターゲットに[%d_稲妻:lightning]ダメージを与え、
Stun all enemies in a [%d_tile:radius] burst around the target.;ターゲットの周囲の[%d_タイル:radius]範囲内の全ての敵をスタンさせる。\n
Giant Strength;GIANT STRENGTH
Stone Giant Form;ストーン・ジャイアント・フォーム
Temporarily gain physical resistance and the ability to hurl boulders.;一時的に[物理:physical]抵抗力を得て、巨石を投げる能力を得る。\m
Chaos Barrage;CHAOS BARRAGE
Fire [%d_bolts:num_targets] of chaotic energy at random units in a cone.;円錐状にランダムなユニットに向けて[混沌:chaos]エネルギーの%dボルトを発射する。
Each bolt randomly deals [%d_fire:fire], [%d_lightning:lightning], or [%d_physical:physical] damage.;各ボルトはランダムに[%d_炎:fire]、[%d_稲妻:lightning]、または[%d_物理:physical]ダメージを与える。\n
Inferno;INFERNO
Create a spreading inferno that deals damage each turn to units inside.;内部のユニットに毎ターンダメージを与える広がる炎を作り出す。
A spreading cloud of fire. Deals %d damage to creatures caught within each turn.;広がる炎の雲。毎ターン、中にいる敵に%dダメージを与える。
Disperse;DISPERSE
Teleport all units in a [%d_tile:radius] radius to random locations;[%d_タイル:radius]内のすべてのユニットをランダムな位置にテレポートする。
The caster is unaffected.;詠唱者には影響しない。\n
Petrify;PETRIFY
Inflict [%a] on the target for [%d_turns:duration].;対象に[%dターン:duration]の[%a]を与える。
[%a] units cannot act.;[%a]したユニットは動くことができない。
[%a] units gain [%d_ice:ice] resist.;[%a]したユニットは [%d_冷気:ice]抵抗を得る。
[%a] units gain [%d_lightning:lightning] resist.;[%a]したユニットは [%d_稲妻:lightning]抵抗を得る。
[%a] units gain [%d_physical:physical] resist.;[%a]したユニットは [%d_物理:physical]抵抗を得る。
[%a] units gain [%d_fire:fire] resist.;[%a]したユニットは [%d_炎:fire]抵抗を得る。\n
Petrification Aura;PETRIFICATION AURA
Petrify nearby enemies each turn;毎ターン、近くの敵を石化させる
Each turn, inflict [%a] on up to [%d:num_targets] unpetrified enemy units in a [%d_tile:radius] radius each turn.;毎ターン、最大[%d:num_targets]体まで[半径%dタイル:radius]内の敵ユニットに[%a]を与える。
Lasts [%d_turns:duration].;[%dターン:duration]持続する。\n\n
Wolf;WOLF
Summon a wolf.;ウルフを召喚する。
The wolf has [%d_HP:minion_health].;ウルフは[%d_HP:minion_health]を持つ。
The wolf has a melee attack which deals [%d_physical:physical] damage.;ウルフは[%d_物理:physical]ダメージを与える近接攻撃を持つ。\n
Dire Wolf;DIRE WOLF
Summon a dire wolf.;ダイア・ウルフを召喚する。
Giant Bear;GIANT BEAR
Summon a giant bear.;巨大熊を召喚する。
The bear has [%d_HP:minion_health].;熊は[%d_HP:minion_health]を持つ。
The bear has a melee attack which deals [%d_physical:physical] damage.;熊は近接攻撃で[%d_物理:physical]ダメージを与える。\n
%d - Minion Attacks;%d - ミニオン攻撃回数
Minion Attacks;ミニオン攻撃回数
%d - Armored Bear;%d - アーマード・ベア
Armored Bear;アーマード・ベア
Summons an armored bear instead of a giant bear.  Armored bears have increased physical resistance and HP, but are vulnerable to lightning damage.;巨大熊の代わりに装甲熊を召喚する。装甲熊は[物理:physical]耐性とHPが上昇し、[雷:lightning]ダメージに弱い。
%d - Venom Bear;%d - ヴェノム・ベア
Venom Bear;ヴェノム・ベア
Summons a venom bear instead of a giant bear.  Venom Bears have a poison bite, and heal whenever an enemy takes poison damage.;巨大熊の代わりに毒熊を召喚する。毒熊は毒を持つ噛み付き攻撃を持ち、敵が毒ダメージを受けるたびに回復する。
%d - Blood Bear;%d - ブラッド・ベア
Blood Bear;ブラッド・ベア
Summons a blood bear instead of a giant bear.  Blood bears are resistant to dark damage, and deal increasing damage with each attack.;巨大熊の代わりにブラッドベアを召喚する。ブラッドベアは[暗黒:dark]ダメージに対する耐性を持ち、攻撃するたびにダメージが増加する。
Attacks %d times.;%d回攻撃する。
Sight of Blood;SIGHT OF BLOOD
Must target a damaged [%a] unit.;ダメージを受けた[%a]を対象にする必要がある。
The target is [%a] for [%d_turns:duration].;対象は[%d_ターン:duration]間[%a]状態になる。
All [%a] units in line of sight of the target go [%a] for [%d_turns:duration].;対象が視界内にいる全ての[%a]は[%d_ターン:duration]間[%a]状態になる。
[%a] units are hostile to all other units, they will attack and be attacked by their allies.;[%a]ユニットは他のすべてのユニットと敵対しており、味方を攻撃したり、味方の攻撃を受けたりする。\n
